Hello, collisional simulations!
Event: 766 5711 0.002569193307637696
Event: 6875 8755 0.0025748018631694966
Event: 7359 9713 0.002577730252868244
Event: 868 9852 0.002611444192871053
Event: 2325 4218 0.002635264267269616
Event: 1928 3265 0.0026479656255411045
Event: 4462 9277 0.002749867005309072
Event: 4609 5059 0.0027618901194227177
Event: 4301 7049 0.0027759990164930933
Event: 3871 4362 0.0027773332951878315
Event: 2277 6670 0.0027814713505695497
Event: 3589 8215 0.0028436997057783046
Event: 3484 6340 0.002854868349986678
Event: 4839 5067 0.002889039486858297
Event: 5060 6404 0.0029181351298208326
Event: 3182 5844 0.0029458062443214125
Event: 594 7846 0.0029738669542374325
Event: 788 9755 0.0030186091005926924
Event: 3224 7780 0.0030782013496885104
Event: 3132 5885 0.0030855872260785715
Event: 1767 7248 0.0031675649396113413
Event: 1315 8255 0.003187046576351547
Event: 6999 7622 0.003187350495842795
Event: 1306 9745 0.0031956282990006296
Event: 1327 6607 0.0031980461327238956
Event: 7131 9359 0.003199882591853247
Event: 291 2013 0.0032059967323835566
Event: 1488 2716 0.0032059967323835566
Event: 1722 3102 0.0032059967323835566
Event: 8103 9409 0.0032059967323835566
Event: 2058 6414 0.0032059967323835566
Event: 993 5367 0.0032059967323835566
Event: 4945 8109 0.0032059967323835566
Event: 1418 8740 0.0032059967323835566
Event: 1387 6539 0.0032059967323835566
Event: 1321 2398 0.0032059967323835566
Event: 5108 7141 0.0032059967323835566
Event: 289 8075 0.0032151174079372994
Event: 6869 7751 0.0032164490036746406
Event: 7169 7980 0.0032261908875163147
Event: 4114 9896 0.0032530001342835884
Event: 3139 4808 0.0032532653806520203
Event: 7359 9713 0.00325334141584193
Event: 4044 9288 0.0032794684518617704
Event: 131 7906 0.0032807815138794156
Event: 4362 9650 0.0032922615422060026
Event: 8212 9477 0.003294823094890786
Event: 6220 6468 0.0033154520192843723
Event: 2040 5002 0.003316658222798133
Event: 2709 5786 0.003381057039036632
Event: 1709 8243 0.0034311784389087193
Event: 369 4258 0.003484117948249181
Event: 1382 9125 0.0035224461138722127
Event: 2553 2683 0.003527924384547102
Event: 3455 5196 0.0035304827760484266
Event: 4927 7890 0.0035347284234052857
Event: 5161 5316 0.0035348178972681708
Event: 4301 7049 0.0035539059730008747
Event: 2366 5464 0.003556890105552794
Event: 8724 9370 0.003588383497713508
Event: 3560 7791 0.0036042310750569488
Event: 770 4729 0.0036208473283248464
Event: 3655 4809 0.003631598938658922
Event: 589 1982 0.003652871004521403
Event: 825 1841 0.003656368288893337
Event: 2557 5439 0.003667362101849088
Event: 92 5440 0.003723010053060569
Event: 6583 9513 0.0037394714253955142
Event: 4511 7923 0.0037434506961413812
Event: 7519 7879 0.0037553651272461534
Event: 854 8609 0.0037782820625748155
Event: 4434 6982 0.003797012628369673
Event: 2328 4363 0.003830121204180849
Event: 291 2013 0.003847196078860268
Event: 5108 7141 0.003847196078860268
Event: 1488 2716 0.003847196078860268
Event: 1321 2398 0.003847196078860268
Event: 1722 3102 0.003847196078860268
Event: 1387 6539 0.003847196078860268
Event: 8103 9409 0.003847196078860268
Event: 2058 6414 0.003847196078860268
Event: 4945 8109 0.003847196078860268
